id,進貨日期,商品ID,數量,單位成本,進貨來源,備註,訂單狀態,建立時間,金額,user_id
"3250d13f-5b7f-4bb4-a4a9-556a8eb15e08","2026-04-25","cc399e5e-c57f-4782-88cf-d8e280b9d776","1","157","","","待入庫","2026-04-25T14:33:33.988652+00:00","157","6bd05ea5-44eb-46de-a7f2-cd540b4ca715"
"24292bdc-5913-49f1-92f7-aef880815219","2025-05-01","5b03f140-fb75-4a42-9e7c-a6515abbab08","5","358","蝦皮","","已入庫","2026-04-21T14:34:51.335999+00:00","1790","6bd05ea5-44eb-46de-a7f2-cd540b4ca715"
"6ad8e7f3-03fb-4c20-928c-805132a8c6df","2025-05-01","b452eb6d-32f7-40fc-b60d-97b1ae53b09d","1","792","蝦皮","","已入庫","2026-04-21T14:34:51.335999+00:00","792","6bd05ea5-44eb-46de-a7f2-cd540b4ca715"
"5e0396c1-1ee9-4967-8a09-e92756c94ae5","2025-05-01","13a5ef17-86ea-4659-96d4-0d4b67389437","1","1370","蝦皮","努力","已入庫","2026-04-21T14:34:51.335999+00:00","1370","6bd05ea5-44eb-46de-a7f2-cd540b4ca715"
"b32fcd83-b10b-42af-9d0f-01208ac52ef7","2025-05-01","b452eb6d-32f7-40fc-b60d-97b1ae53b09d","1","727","蝦皮","","已入庫","2026-04-21T14:34:51.335999+00:00","727","6bd05ea5-44eb-46de-a7f2-cd540b4ca715"
"fa5c9edf-da01-49e1-a8ea-deb6c67cd34c","2025-05-01","937c135a-fd34-418a-a3f0-c61e3b52e910","1","553.5","蝦皮","","已入庫","2026-04-21T14:34:51.335999+00:00","553.5","6bd05ea5-44eb-46de-a7f2-cd540b4ca715"
"e1f026ac-e0ab-4151-99e4-29d3454eb3f8","2025-05-01","eaa5abbf-07ef-422c-822a-bd49f4c9db9e","1","553.5","蝦皮","","已入庫","2026-04-21T14:34:51.335999+00:00","553.5","6bd05ea5-44eb-46de-a7f2-cd540b4ca715"
"c66368ec-e0c7-4a9e-b8fe-02f3d0bfa8cd","2025-05-01","937c135a-fd34-418a-a3f0-c61e3b52e910","3","594","蝦皮","","已入庫","2026-04-21T14:34:51.335999+00:00","1782","6bd05ea5-44eb-46de-a7f2-cd540b4ca715"
"44ad5a12-b9fc-4723-85df-3a07d4052582","2025-05-02","13a5ef17-86ea-4659-96d4-0d4b67389437","1","1370","蝦皮","白白","已入庫","2026-04-21T14:34:51.335999+00:00","1370","6bd05ea5-44eb-46de-a7f2-cd540b4ca715"
"5f819fc5-9930-4665-a9cf-c20b3d9463e1","2025-05-02","39749fa7-2bb1-4c7a-abe5-1c35b0a3bb5b","1","963","蝦皮","","已入庫","2026-04-21T14:34:51.335999+00:00","963","6bd05ea5-44eb-46de-a7f2-cd540b4ca715"
"95bb971d-f46d-41c0-af22-6ec38e1ade51","2026-04-24","bebae2c8-6114-4d9b-9129-f6910d2aae1a","2","324.5","","","待入庫","2026-04-25T14:23:15.031935+00:00","649","6bd05ea5-44eb-46de-a7f2-cd540b4ca715"
"c8acd6ec-8f57-4f38-8679-34d137caa346","2026-04-24","42687ef1-23ac-4ac9-8a31-fec0072b8a69","1","764","","","待入庫","2026-04-25T14:25:38.144768+00:00","764","6bd05ea5-44eb-46de-a7f2-cd540b4ca715"
"c14a56f1-305e-4f0b-bac3-57ce6f5cd849","2026-04-25","d23e770b-7417-4baf-b7a2-04315cc5b732","1","74","","","待入庫","2026-04-25T14:33:53.930823+00:00","74","6bd05ea5-44eb-46de-a7f2-cd540b4ca715"
