id,日期,項目內容,收支類型,金額,備註,建立時間,user_id
"d75601f0-3ef5-4b36-9ac0-88257e60a5dc","2025-05-09","集運","支出","540","","2026-04-23T08:08:55.879129+00:00","6bd05ea5-44eb-46de-a7f2-cd540b4ca715"
"fcc24c9f-c60e-496d-bdb1-a7024eea3f0b","2025-05-09","集運","支出","824","","2026-04-23T08:09:12.795932+00:00","6bd05ea5-44eb-46de-a7f2-cd540b4ca715"
"57107588-0d93-4c80-ae93-d8ed104d86a1","2025-05-09","稅金","支出","410","","2026-04-23T08:09:56.765485+00:00","6bd05ea5-44eb-46de-a7f2-cd540b4ca715"
"2aff82ff-8e31-48ad-9da3-0480551b7ef1","2025-05-17","海外手續費","支出","849","","2026-04-23T08:10:15.049908+00:00","6bd05ea5-44eb-46de-a7f2-cd540b4ca715"
"568f3d84-cc8f-430f-9a2c-560b6bb5e9ec","2025-05-21","集運","支出","438","","2026-04-23T08:10:33.716956+00:00","6bd05ea5-44eb-46de-a7f2-cd540b4ca715"
"446977c0-b342-44c2-ae55-47447b09755e","2025-05-21","稅金","支出","410","","2026-04-23T08:11:03.57922+00:00","6bd05ea5-44eb-46de-a7f2-cd540b4ca715"
"35d90a35-7d39-4c1e-b838-765de4e74240","2025-05-27","集運","支出","570","","2026-04-23T08:11:18.29889+00:00","6bd05ea5-44eb-46de-a7f2-cd540b4ca715"
"b207184a-1ac6-4ea6-88c5-a2eb27073805","2025-06-02","包材","支出","147","","2026-04-23T08:12:12.303662+00:00","6bd05ea5-44eb-46de-a7f2-cd540b4ca715"
"70095aeb-90a0-4ab5-a379-0508dd89316f","2025-06-03","集運","支出","260","","2026-04-23T08:12:55.753687+00:00","6bd05ea5-44eb-46de-a7f2-cd540b4ca715"
"bef904e1-788e-42da-a7ed-66779d21ed80","2025-06-09","集運","支出","672","","2026-04-23T08:13:22.727614+00:00","6bd05ea5-44eb-46de-a7f2-cd540b4ca715"
"2bcccbec-ba42-42f9-a5d6-d4845a4b57e7","2025-06-14","蝦皮廣告","支出","200","","2026-04-23T08:13:40.717106+00:00","6bd05ea5-44eb-46de-a7f2-cd540b4ca715"
"207880a4-6ef5-4d8d-a8ba-55c6dc5322c0","2025-06-17","海外手續費","支出","701","","2026-04-23T08:14:13.018136+00:00","6bd05ea5-44eb-46de-a7f2-cd540b4ca715"
"92bcad2d-92d6-4927-b0d5-375c1f7e6ee0","2025-06-23","集運","支出","562","","2026-04-23T08:14:28.213027+00:00","6bd05ea5-44eb-46de-a7f2-cd540b4ca715"
"ad7a50fa-e62d-4a3d-aab0-95201652a52c","2025-06-23","包材","支出","40","","2026-04-23T08:14:37.178349+00:00","6bd05ea5-44eb-46de-a7f2-cd540b4ca715"
"0188f882-df3e-4ff5-bbae-098af441d65b","2025-07-16","集運","支出","1349","","2026-04-23T08:14:47.888411+00:00","6bd05ea5-44eb-46de-a7f2-cd540b4ca715"
"136a9e3b-5b6a-4391-87e4-fa50ec2b331d","2025-07-17","海外手續費","支出","645","","2026-04-23T08:14:58.301229+00:00","6bd05ea5-44eb-46de-a7f2-cd540b4ca715"
"90b95268-3098-44d9-a442-db47676372a0","2025-07-23","集運","支出","358","","2026-04-23T08:15:10.119857+00:00","6bd05ea5-44eb-46de-a7f2-cd540b4ca715"
"cf0cbfeb-7eb9-400f-accf-640479378258","2025-08-04","集運","支出","900","","2026-04-23T08:15:25.744942+00:00","6bd05ea5-44eb-46de-a7f2-cd540b4ca715"
